Generation,TimeElapsed,FitnessScore,Tm,Spec
126,47.9666,26.9835,27.5239,26.4431
127,48.2876,26.9835,27.5239,26.4431
128,48.6144,26.9835,27.5239,26.4431
129,49.0749,26.9835,27.5239,26.4431
130,49.4778,26.9835,27.5239,26.4431
131,49.8473,26.9835,27.5239,26.4431
132,50.284,26.9835,27.5239,26.4431
133,50.7399,27.2165,32.7662,21.6668
134,51.0728,27.2165,32.7662,21.6668
135,51.4597,27.2165,32.7662,21.6668
136,51.8987,27.2165,32.7662,21.6668
137,52.3454,27.2165,32.7662,21.6668
138,52.6588,27.2165,32.7662,21.6668
139,53.0387,27.2165,32.7662,21.6668
140,53.442,27.2165,32.7662,21.6668
141,53.8684,27.2165,32.7662,21.6668
142,54.2576,27.2165,32.7662,21.6668
143,54.6735,27.2165,32.7662,21.6668
144,55.1481,27.2165,32.7662,21.6668
145,55.5791,27.2165,32.7662,21.6668
146,55.9495,27.2165,32.7662,21.6668
147,56.4006,27.2165,32.7662,21.6668
148,56.7915,27.2165,32.7662,21.6668
149,57.1452,27.2165,32.7662,21.6668
150,57.5378,27.2165,32.7662,21.6668
151,57.9124,27.2165,32.7662,21.6668
152,58.2849,27.2165,32.7662,21.6668
153,58.6801,27.2165,32.7662,21.6668
154,59.019,28.7587,35.2483,22.2691
155,59.3562,28.7587,35.2483,22.2691
156,59.7406,28.7587,35.2483,22.2691
157,60.092,28.7587,35.2483,22.2691
158,60.4648,28.7587,35.2483,22.2691
159,60.8691,28.7587,35.2483,22.2691
160,61.248,28.7587,35.2483,22.2691
161,61.5846,28.7587,35.2483,22.2691
162,62.0176,28.7587,35.2483,22.2691
163,62.476,28.7587,35.2483,22.2691
164,62.9471,28.7587,35.2483,22.2691
165,63.2939,28.7587,35.2483,22.2691
166,63.6754,28.7587,35.2483,22.2691
167,64.0526,28.7587,35.2483,22.2691
168,64.3902,28.7587,35.2483,22.2691
169,64.7734,28.7587,35.2483,22.2691
170,65.1936,28.7587,35.2483,22.2691
171,65.5603,28.7587,35.2483,22.2691
172,66.0299,28.7587,35.2483,22.2691
173,66.4067,28.7587,35.2483,22.2691
174,66.6916,28.8393,35.3289,22.3497
175,67.0864,29.1417,35.0615,23.222
176,67.4895,29.1417,35.0615,23.222
177,67.8191,29.1417,35.0615,23.222
178,68.2847,29.9526,39.1036,20.8015
179,68.6432,29.9526,39.1036,20.8015
180,69.0026,29.9526,39.1036,20.8015
181,69.21,29.9526,39.1036,20.8015
182,69.6055,29.9526,39.1036,20.8015
183,69.9668,30.22,39.3711,21.069
184,70.3581,31.0817,41.1204,21.043
185,70.7315,31.0817,41.1204,21.043
186,71.104,31.0817,41.1204,21.043
187,71.4969,31.0817,41.1204,21.043
188,71.9044,31.0817,41.1204,21.043
189,72.2332,31.0817,41.1204,21.043
190,72.6665,31.6736,41.7123,21.6349
191,73.0639,31.6736,41.7123,21.6349
192,73.5007,32.2386,42.5635,21.9137
193,73.8786,32.2386,42.5635,21.9137
194,74.2513,32.2386,42.5635,21.9137
195,74.7494,32.2386,42.5635,21.9137
196,75.0905,32.2441,44.5803,19.9079
197,75.5995,32.4747,46.3296,18.6197
198,75.9561,32.4747,46.3296,18.6197
199,76.4041,32.4747,46.3296,18.6197
200,76.847,32.4747,46.3296,18.6197
201,77.1668,32.4747,46.3296,18.6197
202,77.5255,32.4747,46.3296,18.6197
203,78.0399,32.4747,46.3296,18.6197
204,78.4451,32.4747,46.3296,18.6197
205,78.768,33.1074,47.6704,18.5445
206,79.1239,33.1074,47.6704,18.5445
207,79.4591,33.1074,47.6704,18.5445
208,79.8102,33.1074,47.6704,18.5445
209,80.2652,33.1074,47.6704,18.5445
210,80.6926,33.1074,47.6704,18.5445
211,81.0774,33.1074,47.6704,18.5445
212,81.5102,33.1074,47.6704,18.5445
213,81.9662,33.1074,47.6704,18.5445
214,82.3192,33.1074,47.6704,18.5445
215,82.6238,33.1074,47.6704,18.5445
216,83.0474,33.5639,48.5833,18.5445
217,83.4143,33.5639,48.5833,18.5445
218,83.8355,33.5639,48.5833,18.5445
219,84.2293,33.5639,48.5833,18.5445
220,84.5223,33.5639,48.5833,18.5445
221,84.8818,33.5639,48.5833,18.5445
222,85.3686,34.0683,45.6351,22.5015
223,85.7389,34.0683,45.6351,22.5015
